,BiasGradNHWC_SharedAtomics,BiasNHWCKernel,CwiseFusedMulAddKernel,EigenMetaKernel,FillPhiloxRandomKernelLaunch,__amd_rocclr_copyBuffer.kd,__amd_rocclr_fillBuffer.kd
GRBM_COUNT,"64199.34953046953","32603.665147426287","27844.01596806387","34870.775492886256","232785.0","135477.0","24621.22711471611"
GRBM_GUI_ACTIVE,"64199.34953046953","32603.665147426287","27844.01596806387","34870.775492886256","232785.0","135477.0","24621.22711471611"
GPUBusy,"100.0","100.0","100.0","100.0","100.0","100.0","100.0"
MemUnitBusy,"28.722637362637364","5.0744627686156925","2.2634730538922154","3.140945870314437","63.0","15.666666666666666","1.6693570943381149"
SQ_WAVES,"1760.0","1760.0","449.4690618762475","470.772217551985","4800.0","129142.66666666667","55.99584448795301"
Wavefronts,"1760.0","1760.0","449.4690618762475","470.772217551985","4800.0","129142.66666666667","55.99584448795301"
SQ_INSTS_VALU,"383919.8396403596","73920.0","14717.540918163673","47176.85212845745","12719200.0","1678834.3333333333","1214.9064210652496"
VALUInsts,"217.63904095904095","42.0","23.59880239520958","43.53128505038192","2649.0","12.0","20.99916090622128"
SQ_INSTS_SALU,"331793.76071928075","21120.0","4324.814371257485","14022.398213124448","690400.0","2324544.0","992.9232428976705"
SALUInsts,"188.01934065934066","12.0","7.401197604790419","14.068656263241255","143.0","17.0","16.999240819914494"
SQ_INSTS_SMEM,"10560.0","10560.0","1785.7245508982037","3595.8961228471276","28800.0","645710.0","442.9661165940784"
SFetchInsts,"6.0","6.0","3.002994011976048","7.123752348021544","6.0","4.0","6.999800215766972"
SQ_INSTS_FLAT,"81766.68","5280.0","2531.097804391218","4738.605432681741","96800.0","258280.0","109.99140927797978"
FlatVMemInsts,"45.95876123876124","3.0","3.399201596806387","1.3539173723004834","20.0","1.0","0.9999600431533944"
SQ_INSTS_LDS,"29480.0","0.0","0.0","0.0","101600.0","0.0","0.0"
LDSInsts,"16.0","0.0","0.0","0.0","21.0","0.0","0.0"
TA_BUSY_avr,"114493.25530469531","8274.498670664667","3158.5099800399203","47607.9574931627","1035021.0","393368.3333333333","1332.3512606385104"
TA_BUSY_max,"150050.74713286714","14526.014432783608","6909.28243512974","58933.58879316791","1178841.0","441225.6666666667","4185.083869421025"
SQ_INSTS_VMEM_RD,"49886.47964035964","3520.0","1705.1097804391218","3940.880923302117","0.0","129140.0","0.0"
VFetchInsts,"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
TA_FLAT_READ_WAVEFRONTS_sum,"49886.47964035964","3520.0","1705.1097804391218","3940.880923302117","0.0","129140.0","0.0"
TCC_EA_WRREQ_sum,"440.0","7040.0","3303.952095808383","10524.808793439815","1548800.0","516560.0","439.9655172413793"
TCC_EA_WRREQ_64B_sum,"440.0","7040.0","3303.952095808383","10524.808793439815","1548800.0","516560.0","439.9654772845327"
WRITE_SIZE,"27.0","440.0","206.49700598802394","657.7977144035402","96800.0","32284.666666666668","26.9978822871299"
WRITE_REQ_32B,"880.0","14080.0","6607.904191616766","21049.61758687963","3097600.0","1033120.0","879.9309945259121"
SQ_WAIT_INST_LDS,"12681.68023976024","0.0","0.0","0.0","0.0","716.0","0.0"
SQ_ACTIVE_INST_VALU,"409196.99676323676","89760.0","15159.017964071856","50989.892703629266","1774.0","7698733.333333333","1490.8851640228554"
SQ_INST_CYCLES_SALU,"330723.4865934066","21120.0","4324.814371257485","14022.398213124448","2002.0","2554010.0","992.9232428976705"
SQ_THREAD_CYCLES_VALU,"23163761.85254745","5744640.0","970177.1497005988","3263341.8830124466","113410.0","492718849.3333333","95416.6051863987"
SQ_LDS_BANK_CONFLICT,"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
VALUUtilization,"87.95968031968032","100.0","100.0","99.98979332878646","99.0","99.33333333333333","99.99828185559596"
VALUBusy,"4.95984015984016","1.9795302348825587","0.011976047904191617","0.14529296737807848","0.0","24.666666666666668","0.0"
SALUBusy,"3.977022977022977","0.0","0.001996007984031936","0.0034022237378463684","0.0","5.666666666666667","0.0"
SQ_INSTS_VMEM_WR,"31704.55828171828","1760.0","825.9880239520958","797.7245093796238","110.0","161370.0","109.99140927797978"
VWriteInsts,"17.515164835164835","0.0","0.0","0.0","0.0","0.0","0.0"
TA_FLAT_WRITE_WAVEFRONTS_sum,"0.0","1760.0","825.9880239520958","797.7245093796238","110.0","161370.0","109.99140927797978"
TCC_EA_RDREQ_sum,"7699.146013986014","7703.489455272364","6928.60878243513","58771.65474849829","548.0","519893.0","78.94677748032126"
TCC_HIT_sum,"397547.5105294705","14012.81007496252","90.60878243512974","8005.562027421719","1645.0","200.0","524.577056778679"
TCC_MISS_sum,"7680.840439560439","7665.065187406297","10207.424151696607","61445.25481216961","1550492.0","1035929.3333333334","505.7736444639789"
L2CacheHit,"97.96167832167832","64.00007996001999","1.0429141716566865","26.19275529140392","0.0","6.0","51.7073560554601"
TA_TA_BUSY_std,"28589.251729093074","2888.0219174642953","755.4792200152315","11141.010927225605","246566.9855943732","93931.95337569433","318.24216980889895"
TA_FLAT_READ_WAVEFRONTS_std,"809.6378041583652","51.44385271233072","25.072153374792205","57.529844632736165","0.0","1915.8051223093298","0.0"
TCC_EA_WRREQ_std,"6.551398309309649","104.80696236859289","35.3836786980606","155.92844737103363","21594.032769032587","6213.187929952372","6.5508848919392175"
TCC_EA_WRREQ_64B_std,"0.14247033245887514","0.40111312035602137","2.726482368806475","0.0996268914784093","4.131182235954578","1.2141145226350407","0.142461444045187"
TCP_TCP_TA_DATA_STALL_CYCLES_std,"4229.8479400625665","214.2334961351913","193.7721029541457","3260.752865517073","212907.05086405468","46826.28940625978","283.91707281499794"
TA_FLAT_WRITE_WAVEFRONTS_std,"0.0","25.653240344405496","11.978925170001402","11.647767845121512","2.7294688127912363","2377.524675651829","1.6370936384798584"
TCC_EA_RDREQ_std,"120.16788219495064","120.90844832542753","108.8162074241129","931.8963406669667","9.685737352649829","8281.352916044074","1.2259550906983911"
TCC_HIT_std,"181.30855179797993","53.23534063117083","15.263905309392559","6.67698366525561","82.69640762048454","18.70847253103375","9.400714795286785"
TCC_MISS_std,"10.281277600628009","10.51896862492418","3.8679119150431633","3.7332991401723343","12.038826077875424","40.48899599022293","2.6863664724057057"
ts,"266347.0","4084752.0","146241.0","1375092.0","143840.0","80640.0","228819.5"
